iter	Passed	Remaining
433	759	991
434	761	989
435	763	987
436	764	985
437	766	983
438	768	981
439	769	979
440	771	977
441	773	976
442	775	975
443	777	973
444	779	971
445	780	969
446	782	967
447	784	966
448	785	964
449	787	962
450	788	960
451	790	958
452	791	956
453	793	954
454	794	952
455	796	950
456	798	948
457	799	946
458	801	944
459	802	942
460	804	940
461	806	938
462	807	936
463	809	935
464	811	933
465	813	931
466	814	930
467	816	928
468	818	926
469	820	924
470	821	923
471	823	921
472	824	919
473	826	917
474	828	915
475	830	913
476	831	912
477	833	910
478	835	908
479	836	906
480	838	904
481	839	902
482	841	900
483	842	898
484	844	896
485	846	895
486	847	893
487	849	891
488	851	889
489	852	887
490	854	885
491	856	884
492	857	882
493	859	880
494	861	878
495	862	876
496	864	874
497	866	872
498	867	871
499	869	869
500	871	868
501	873	866
502	875	864
503	876	862
504	878	861
505	880	859
506	881	857
507	883	855
508	885	854
509	887	852
510	888	850
511	890	848
512	892	847
513	893	845
514	895	843
515	897	841
516	898	839
517	900	837
518	902	836
519	903	834
520	905	832
521	907	830
522	909	829
523	910	827
524	913	826
525	914	824
526	916	822
527	917	820
528	919	818
529	921	817
530	923	815
531	925	813
532	926	811
533	928	809
534	929	808
535	931	806
536	933	804
537	934	802
538	936	800
539	937	799
540	939	797
541	941	795
542	943	793
543	945	792
544	947	790
545	948	788
546	950	787
547	951	785
548	953	783
549	955	781
550	956	779
551	958	778
552	960	776
553	963	775
554	964	773
555	966	771
556	968	770
557	969	768
558	971	766
559	973	764
560	974	762
561	976	760
562	978	759
563	980	757
564	982	756
565	984	754
566	986	753
567	987	751
568	989	749
569	990	747
570	992	745
571	994	744
572	996	742
573	998	740
574	999	738
575	1001	737
576	1002	735
577	1005	733
578	1006	731
579	1008	729
580	1009	728
581	1011	726
582	1013	724
583	1015	723
584	1016	721
585	1018	719
586	1019	717
587	1021	715
588	1023	714
589	1025	712
590	1026	710
591	1028	708
592	1029	706
593	1031	705
594	1033	703
595	1034	701
596	1036	699
597	1038	698
598	1040	696
599	1041	694
600	1043	692
601	1044	690
602	1046	688
603	1047	687
604	1050	685
605	1051	683
606	1053	682
607	1055	680
608	1057	678
609	1058	676
610	1060	675
611	1062	673
612	1063	671
613	1065	669
614	1066	667
615	1068	666
616	1070	664
617	1072	662
618	1073	660
619	1075	659
620	1077	657
621	1079	655
622	1080	654
623	1082	652
624	1084	650
625	1085	648
626	1087	646
627	1088	644
628	1090	643
629	1091	641
630	1093	639
631	1095	637
632	1096	635
633	1098	634
634	1099	632
635	1101	630
636	1103	628
637	1104	626
638	1106	625
639	1108	623
640	1109	621
641	1111	619
642	1112	617
643	1114	616
644	1116	614
645	1118	612
646	1119	610
647	1121	609
648	1123	607
649	1125	605
650	1126	604
651	1128	602
652	1130	600
653	1131	598
654	1133	597
655	1135	595
656	1136	593
657	1138	591
658	1140	590
659	1142	588
660	1143	586
661	1145	584
662	1147	583
663	1149	581
664	1150	579
665	1152	577
666	1154	576
667	1157	575
668	1158	573
669	1160	571
670	1163	570
671	1164	568
672	1166	566
673	1168	565
674	1169	563
675	1171	561
676	1173	559
677	1174	557
678	1176	556
679	1178	554
680	1180	552
681	1181	551
682	1183	549
683	1185	547
684	1187	545
685	1189	544
686	1191	542
687	1192	540
688	1194	539
689	1196	537
690	1197	535
691	1199	533
692	1201	532
693	1202	530
694	1204	528
695	1206	526
696	1207	524
697	1209	523
698	1210	521
699	1212	519
700	1214	517
701	1216	516
702	1217	514
703	1219	512
704	1221	511
705	1223	509
706	1224	507
707	1226	506
708	1228	504
709	1230	502
710	1232	500
711	1234	499
712	1236	497
713	1237	495
714	1239	494
715	1241	492
716	1243	490
717	1244	488
718	1246	487
719	1248	485
720	1249	483
721	1251	481
722	1253	480
723	1255	478
724	1257	477
725	1259	475
726	1261	473
727	1262	471
728	1264	470
729	1265	468
730	1267	466
731	1268	464
732	1270	462
733	1272	460
734	1273	459
735	1275	457
736	1276	455
737	1278	453
738	1280	452
739	1282	450
740	1283	448
741	1285	446
742	1287	445
743	1288	443
744	1290	441
745	1292	439
746	1293	438
747	1295	436
748	1297	434
749	1299	433
750	1301	431
751	1302	429
752	1304	427
753	1306	426
754	1307	424
755	1309	422
756	1310	420
757	1312	418
758	1313	417
759	1315	415
760	1317	413
761	1318	411
762	1319	409
763	1321	408
764	1322	406
765	1324	404
766	1326	402
767	1328	401
768	1329	399
769	1331	397
770	1332	395
771	1334	394
772	1336	392
773	1337	390
774	1339	388
775	1341	387
776	1342	385
777	1344	383
778	1346	381
779	1347	380
780	1349	378
781	1350	376
782	1352	374
783	1354	373
784	1356	371
785	1357	369
786	1359	367
787	1361	366
788	1362	364
789	1364	362
790	1365	360
791	1367	359
792	1369	357
793	1370	355
794	1372	353
795	1373	352
796	1375	350
797	1377	348
798	1378	346
799	1380	345
800	1382	343
801	1384	341
802	1386	340
803	1388	338
804	1389	336
805	1391	334
806	1393	333
807	1394	331
808	1396	329
809	1397	327
810	1399	326
811	1401	324
812	1402	322
813	1404	320
814	1406	319
815	1407	317
816	1409	315
817	1411	313
818	1412	312
819	1414	310
820	1415	308
821	1417	306
822	1418	305
823	1420	303
824	1422	301
825	1423	299
826	1425	298
827	1427	296
828	1429	294
829	1431	293
830	1432	291
831	1434	289
832	1436	287
833	1438	286
834	1439	284
835	1441	282
836	1443	281
837	1445	279
838	1446	277
839	1448	275
840	1450	274
841	1451	272
842	1453	270
843	1454	268
844	1456	267
845	1458	265
846	1459	263
847	1461	262
848	1463	260
849	1465	258
850	1467	256
851	1469	255
852	1470	253
853	1472	251
854	1473	249
855	1475	248
856	1476	246
857	1478	244
858	1480	243
859	1482	241
860	1483	239
861	1485	237
862	1487	236
863	1488	234
864	1490	232
865	1492	230
866	1494	229
867	1495	227
868	1497	225
869	1499	224
870	1500	222
871	1502	220
872	1504	218
873	1505	217
874	1507	215
875	1508	213
876	1510	211
877	1512	210
878	1513	208
879	1516	206
880	1517	204
881	1519	203
882	1520	201
883	1522	199
884	1524	198
885	1525	196
886	1527	194
887	1529	192
888	1530	191
889	1532	189
890	1534	187
891	1536	185
892	1538	184
893	1539	182
894	1541	180
895	1543	179
896	1545	177
897	1546	175
898	1548	173
899	1550	172
900	1551	170
901	1553	168
902	1555	167
903	1556	165
904	1558	163
905	1560	161
906	1562	160
907	1563	158
908	1565	156
909	1567	155
910	1569	153
911	1571	151
912	1572	149
913	1574	148
914	1576	146
915	1577	144
916	1579	142
917	1581	141
918	1582	139
919	1584	137
920	1586	136
921	1588	134
922	1590	132
923	1591	130
924	1593	129
925	1594	127
926	1596	125
927	1597	123
928	1599	122
929	1601	120
930	1603	118
931	1604	117
932	1606	115
933	1608	113
934	1610	111
935	1612	110
936	1613	108
937	1615	106
938	1616	105
939	1618	103
940	1620	101
941	1622	99
942	1623	98
943	1625	96
944	1627	94
945	1629	92
946	1630	91
947	1632	89
948	1634	87
949	1635	86
950	1637	84
951	1639	82
952	1640	80
953	1642	79
954	1644	77
955	1645	75
956	1647	74
957	1649	72
958	1650	70
959	1652	68
960	1654	67
961	1655	65
962	1657	63
963	1659	61
964	1660	60
965	1662	58
966	1664	56
967	1666	55
968	1667	53
969	1669	51
970	1671	49
971	1673	48
972	1674	46
973	1676	44
974	1677	43
975	1679	41
976	1680	39
977	1682	37
978	1684	36
979	1685	34
980	1687	32
981	1689	30
982	1691	29
983	1692	27
984	1694	25
985	1696	24
986	1697	22
987	1699	20
988	1701	18
989	1703	17
990	1704	15
991	1706	13
992	1708	12
993	1709	10
994	1711	8
995	1712	6
996	1714	5
997	1716	3
998	1717	1
999	1719	0
