iter	Logloss
0	0.6903028867
1	0.6874207704
2	0.684799451
3	0.6821083077
4	0.6796675258
5	0.6777299946
6	0.6753132245
7	0.672848359
8	0.6709041466
9	0.6688512127
10	0.6668051007
11	0.6650285316
12	0.6637467998
13	0.6619873498
14	0.6602650802
15	0.6584888231
16	0.6570800556
17	0.6557182444
18	0.6544432135
19	0.6530196097
20	0.6517042233
21	0.6505774183
22	0.6492765977
23	0.6480491145
24	0.6467412721
25	0.6455735181
26	0.6443276112
27	0.6433857411
28	0.6422619537
29	0.6414716354
30	0.6406785529
31	0.6399789964
32	0.6393559084
33	0.6383849386
34	0.6375182038
35	0.6366448074
36	0.6356781233
37	0.6351432451
38	0.6341847535
39	0.633449327
40	0.6325291272
41	0.6318948231
42	0.6313429992
43	0.6305892759
44	0.6300027401
45	0.6293425702
46	0.6287251851
47	0.6279383428
48	0.6274313529
49	0.6269597805
50	0.6263080566
51	0.6257936312
52	0.6253276891
53	0.6248791332
54	0.6244351495
55	0.6239136352
56	0.6237158698
57	0.6233354447
58	0.6228503754
59	0.6223190298
60	0.6219287089
61	0.6214074993
62	0.6209144
63	0.6204644985
64	0.619958409
65	0.6197171114
66	0.6193014421
67	0.6188968098
68	0.6183766233
69	0.6177783051
70	0.617272424
71	0.6167152911
72	0.6161311784
73	0.6157623857
74	0.6153018532
75	0.6148021485
76	0.6143472742
77	0.6139802964
78	0.6135739675
79	0.6131459208
80	0.6126701165
81	0.6122951581
82	0.6119427993
83	0.6113733213
84	0.6110839024
85	0.6105480862
86	0.6102538963
87	0.6099909193
88	0.6095570959
89	0.6092605212
90	0.6088919371
91	0.6083675237
92	0.6081710827
93	0.6076576003
94	0.6071904006
95	0.6067249635
96	0.6063428666
97	0.6058945641
98	0.6055009396
99	0.6051599178
100	0.6050988634
101	0.6050319479
102	0.6049563429
103	0.6046475912
104	0.6042045392
105	0.6038344297
106	0.60350518
107	0.6029271319
108	0.6028505245
109	0.6025111829
110	0.6019348164
111	0.601622269
112	0.6011486832
113	0.600644629
114	0.6004229183
115	0.6000952215
116	0.5998561456
117	0.599681198
118	0.5993519114
119	0.5991005862
120	0.5988354637
121	0.5984352309
122	0.5981235847
123	0.5978526255
124	0.5974545909
125	0.5971210198
126	0.5968337288
127	0.5966450609
128	0.5962772809
129	0.5957946388
130	0.5955649921
131	0.5952482436
132	0.5949408557
133	0.5947538918
134	0.5945099242
135	0.5942617869
136	0.5939775516
137	0.5933995476
138	0.5931377302
139	0.5928718687
140	0.5925671603
141	0.5920834348
142	0.5917740843
143	0.5913826636
144	0.5910627949
145	0.5906712828
146	0.5902321294
147	0.5900031048
148	0.5895464422
149	0.5892470325
150	0.5889009625
151	0.5885187699
152	0.5882598083
153	0.5879527872
154	0.5876323089
155	0.5873760588
156	0.5869774491
157	0.5866560359
158	0.5864370479
159	0.5860745614
160	0.5859379368
161	0.5856598118
162	0.5853949944
163	0.5851976454
164	0.5846716887
165	0.584315775
166	0.5840165205
167	0.5836264634
168	0.5833498624
169	0.5829933016
170	0.5826024041
171	0.5823831647
172	0.5820844528
173	0.5817799109
174	0.5813735278
175	0.5811126755
176	0.5807867839
177	0.5803956727
178	0.5800057683
179	0.5797513362
180	0.5794671617
181	0.5791961854
182	0.578878228
183	0.57870981
184	0.5784414433
185	0.5781564069
186	0.5778833146
187	0.5778282841
188	0.5775067513
189	0.5772782961
190	0.5771637885
191	0.5768893636
192	0.5766763887
193	0.5763889317
194	0.5761254437
195	0.5758632659
196	0.5755198526
197	0.5752897117
198	0.5751751972
199	0.5750518196
200	0.5747979727
201	0.5745466899
202	0.5743190515
203	0.5738721671
204	0.573577606
205	0.573240113
206	0.5730319958
207	0.5727229111
208	0.572461346
209	0.5721302414
210	0.5716882146
211	0.571448838
212	0.5711728126
213	0.5710201202
214	0.570808676
215	0.5705531121
216	0.5703013062
217	0.5699494036
218	0.5696892685
219	0.5695231086
220	0.5692038904
221	0.5690344798
222	0.5689011909
223	0.5686575027
224	0.5683706557
225	0.5680370454
226	0.5677017274
227	0.5674728546
228	0.567207653
229	0.5670125871
230	0.5666730405
231	0.5663372356
232	0.5660922037
233	0.5657962146
234	0.5655815634
235	0.56535896
236	0.565064279
237	0.5648378745
238	0.5645537953
239	0.564257649
240	0.5640702205
241	0.5638539713
242	0.5635408507
243	0.56326876
244	0.5630085169
245	0.5628182531
246	0.5626769302
247	0.5623926313
248	0.562274605
249	0.5620954742
250	0.5618470491
251	0.5616491473
252	0.5613269265
253	0.5609136049
254	0.560623586
255	0.5604527764
256	0.5601644956
257	0.5599353681
258	0.5595073117
259	0.5593103907
260	0.5589450111
261	0.5584855557
262	0.5582202402
263	0.5579587823
264	0.5577899651
265	0.557614318
266	0.5572447429
267	0.5570388407
268	0.556717948
269	0.556556869
270	0.5562681125
271	0.5560062761
272	0.5557903249
273	0.5556766731
274	0.5554563137
275	0.5552063478
276	0.5548666514
277	0.5545707949
278	0.5541856318
279	0.5538306759
280	0.5535118462
281	0.5533336458
282	0.5529419767
283	0.5526780495
284	0.5524031892
285	0.5522494195
286	0.5520605994
287	0.5518561678
288	0.551511958
289	0.5512610608
290	0.5510476032
291	0.5508913655
292	0.5505673515
293	0.5502232787
294	0.5500256971
295	0.5497262594
296	0.5495018739
297	0.5492117594
298	0.5489368208
299	0.5487535697
300	0.5485906063
301	0.5483683115
302	0.5481961929
303	0.5480329281
304	0.5477566466
305	0.5473630895
306	0.547108653
307	0.5468287846
308	0.5466444676
309	0.5464086753
310	0.5462037815
311	0.5459904883
312	0.545741478
313	0.5456505349
314	0.545326046
315	0.5450686516
316	0.5447157677
317	0.5445601691
318	0.5444010777
319	0.5442608002
320	0.5439757541
321	0.5435956568
322	0.5433507008
323	0.5431927984
324	0.5430286583
325	0.5427535144
326	0.5425366828
327	0.5423596137
328	0.5421121976
329	0.5418932004
330	0.541775163
331	0.5415282274
332	0.5413427842
333	0.5410281172
334	0.5406752192
335	0.5404283839
336	0.5401002593
337	0.5397225896
338	0.5394101606
339	0.5391640598
340	0.5389619284
341	0.5385748437
342	0.5384101073
343	0.5382920081
344	0.538011096
345	0.5376301285
346	0.5373890185
347	0.5369959051
348	0.5367691103
349	0.5366216492
350	0.5363946014
351	0.5361281396
352	0.5358347594
353	0.5355413783
354	0.535401322
355	0.5351986212
356	0.5349975884
357	0.5347835523
358	0.5346013853
359	0.5343649518
360	0.5341058722
